biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=477,BL,Bâle-Campagne,S,S,Groupe socialiste,Claude,Membre,www.janiak.ch,477,Janiak,2501,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2501.jpg,2016-02-03T13:23:37Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3891,ZH,Zurich,S,S,Groupe socialiste,Daniel,Membre,www.jositsch.ch,3891,Jositsch,2694,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2694.jpg,2017-06-01T10:47:31Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1162,SZ,Schwyz,S,V,Groupe de l'Union démocratique du Centre,Alex,Membre,www.alex-kuprecht.ch,1162,Kuprecht,2641,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2641.jpg,2015-11-13T14:44:30Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1150,FR,Fribourg,S,S,Groupe socialiste,Christian,Membre,www.levrat.ch,1150,Levrat,2613,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2613.jpg,2015-11-20T13:50:17Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=540,TI,Tessin,S,C,Groupe PDC,Filippo,Président(e),www.filippolombardi.ch,540,Lombardi,2561,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2561.jpg,2019-02-11T09:00:29Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3918,BE,Berne,S,BD,Groupe BD,Werner,Membre,www.werner-luginbuehl.ch,3918,Luginbühl,2721,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2721.jpg,2017-01-10T08:57:00Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=341,GE,Genève,S,S,Groupe socialiste,Liliane,Membre,www.maurypasquier.ch,341,Maury Pasquier,2405,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2405.jpg,2018-01-10T16:41:14Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4112,SH,Schaffhouse,S,V,Groupe de l'Union démocratique du Centre,Thomas,Membre,www.minder.sh,4112,Minder,3019,-,sans parti,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3019.jpg,2017-11-13T09:28:49Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4207,LU,Lucerne,S,RL,Groupe libéral-radical,Damian,Membre,www.damian-mueller.ch,4207,Müller,3108,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3108.jpg,2018-08-30T15:39:21Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1141,AG,Argovie,S,RL,Groupe libéral-radical,Philipp,Membre,,1141,Müller,2616,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2616.jpg,2018-05-29T15:13:38Z
