biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4045,BE,Berne,N,S,Groupe socialiste,Corrado,Membre,www.pardini.ch,4045,Pardini,2751,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2751.jpg,2018-10-24T08:49:05Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4084,ZG,Zoug,N,RL,Groupe libéral-radical,Bruno,Membre,www.bruno-pezzatti.ch,4084,Pezzatti,2784,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2784.jpg,2016-04-05T11:10:55Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1109,ZG,Zoug,N,C,Groupe PDC,Gerhard,Membre,www.gpfister.ch,1109,Pfister,2623,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2623.jpg,2016-05-02T11:52:05Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4065,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Nadja,Membre,www.nadja-pieren.ch,4065,Pieren,2781,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2781.jpg,2015-11-24T15:06:15Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4109,FR,Fribourg,N,S,Groupe socialiste,Valérie,Membre,www.valerie-piller-carrard.ch,4109,Piller Carrard,3009,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3009.jpg,2018-10-23T12:21:23Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4141,ZH,Zurich,N,RL,Groupe libéral-radical,Hans-Peter,Membre,www.hanspeter-portmann.ch,4141,Portmann,3043,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3043.jpg,2015-10-29T17:53:56Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4066,ZH,Zurich,N,BD,Groupe BD,Rosmarie,Président(e),www.rosmarie-quadranti.ch,4066,Quadranti,2779,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2779.jpg,2019-06-14T08:44:07Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4046,TI,Tessin,N,V,Groupe de l'Union démocratique du Centre,Lorenzo,Membre,www.lorenzoquadri.ch,4046,Quadri,2752,Lega,Lega dei Ticinesi,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2752.jpg,2017-12-18T11:50:25Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4072,TI,Tessin,N,C,Groupe PDC,Fabio,Membre,www.fabioregazzi.ch,4072,Regazzi,2776,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2776.jpg,2015-05-17T21:18:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3901,SG,St-Gall,N,V,Groupe de l'Union démocratique du Centre,Lukas,Membre,www.lukas-reimann.ch,3901,Reimann,2704,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2704.jpg,2018-01-10T16:52:43Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=173,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Maximilian,Membre,www.maximilian-reimann.ch,173,Reimann,2147,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2147.jpg,2018-02-21T08:42:49Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4091,VS,Valais,N,S,Groupe socialiste,Mathias,Membre,www.mathiasreynard.ch,4091,Reynard,2795,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2795.jpg,2019-06-07T08:28:56Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=502,ZH,Zurich,N,C,Groupe PDC,Kathy,Membre,www.kathyriklin.ch,502,Riklin,2525,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2525.jpg,2018-02-21T09:40:40Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1119,FR,Fribourg,N,V,Groupe de l'Union démocratique du Centre,Jean-François,Membre,,1119,Rime,2627,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2627.jpg,2018-02-21T09:24:28Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4052,SG,St-Gall,N,C,Groupe PDC,Markus,Membre,www.markusritter.ch,4052,Ritter,2754,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2754.jpg,2015-05-17T21:18:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4232,VD,Vaud,N,S,Groupe socialiste,Nicolas,Membre,,4232,Rochat Fernandez,3133,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3133.jpg,2019-04-25T14:59:22Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4220,VS,Valais,N,C,Groupe PDC,Benjamin,Membre,www.benjaminpdc.ch,4220,Roduit,3121,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3121.jpg,2018-12-13T12:07:26Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4120,TI,Tessin,N,C,Groupe PDC,Marco,Membre,www.marcoromano.ch,4120,Romano,3025,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3025.jpg,2018-02-13T10:53:01Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4100,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Albert,Membre,www.albertroesti.ch,4100,Rösti,3010,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3010.jpg,2019-06-18T13:51:47Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4170,VS,Valais,N,V,Groupe de l'Union démocratique du Centre,Franz,Membre,www.franz-ruppen.ch,4170,Ruppen,3091,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3091.jpg,2017-12-12T16:21:00Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4125,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Gregor,Membre,www.gregor-rutz.ch,4125,Rutz,3030,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3030.jpg,2019-04-24T09:36:09Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4095,BE,Berne,N,G,Groupe des Verts,Regula,Membre,www.regularytz.ch,4095,Rytz,3000,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3000.jpg,2016-12-21T08:26:43Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4172,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Werner,Membre,www.werner-salzmann.ch,4172,Salzmann,3092,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3092.jpg,2016-11-15T16:03:07Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4202,ZH,Zurich,N,RL,Groupe libéral-radical,Regine,Membre,www.regine-sauter.ch,4202,Sauter,3103,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3103.jpg,2019-02-25T07:54:40Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1129,BS,Bâle-Ville,N,S,Groupe socialiste,Silvia,Membre,www.silviaschenker.ch,1129,Schenker,2630,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2630.jpg,2015-11-13T13:43:40Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4124,LU,Lucerne,N,RL,Groupe libéral-radical,Peter,Membre,www.peter-schilliger.ch,4124,Schilliger,3029,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3029.jpg,2018-01-10T16:55:04Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4234,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Therese,Membre,www.therese-schlaepfer.ch,4234,Schläpfer,3135,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3135.jpg,2019-05-22T17:13:25Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4060,BL,Bâle-Campagne,N,RL,Groupe libéral-radical,Daniela,Membre,www.danielaschneeberger.ch,4060,Schneeberger,2766,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2766.jpg,2016-11-01T11:54:56Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4123,FR,Fribourg,N,S,Groupe socialiste,Ursula,Membre,www.ursulaschneider.ch,4123,Schneider Schüttel,3028,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3028.jpg,2018-02-21T11:15:36Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4040,BL,Bâle-Campagne,N,C,Groupe PDC,Elisabeth,Membre,www.elisabethschneider.ch,4040,Schneider-Schneiter,2748,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2748.jpg,2017-04-03T08:51:37Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1159,SZ,Schwyz,N,V,Groupe de l'Union démocratique du Centre,Pirmin,Membre,www.pirmin-schwander.ch,1159,Schwander,2631,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2631.jpg,2015-11-12T17:46:50Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4199,ZH,Zurich,N,S,Groupe socialiste,Priska,Membre,www.priskaseilergraf.ch,4199,Seiler Graf,3094,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3094.jpg,2018-03-15T09:37:05Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=354,GR,Grisons,N,S,Groupe socialiste,Silva,Membre,www.silvasemadeni.ch,354,Semadeni,2417,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2417.jpg,2018-02-21T11:14:15Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4146,BE,Berne,N,BD,Groupe BD,Heinz,Membre,www.heinzsiegenthaler.ch,4146,Siegenthaler,3048,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3048.jpg,2017-08-28T11:39:04Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4173,BL,Bâle-Campagne,N,V,Groupe de l'Union démocratique du Centre,Sandra,Membre,,4173,Sollberger,3095,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3095.jpg,2016-11-21T09:31:20Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1120,GE,Genève,N,S,Groupe socialiste,Carlo,Membre,www.carlosommaruga.ch,1120,Sommaruga,2632,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2632.jpg,2017-11-02T11:05:43Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=214,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Luzi,Membre,www.luzi-stamm.ch,214,Stamm,2323,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2323.jpg,2015-05-17T21:18:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4174,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Barbara,Membre,,4174,Steinemann,3096,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3096.jpg,2016-09-29T08:45:41Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4036,BE,Berne,N,C,Groupe PDC,Marianne,Membre,www.marianne-streiff.ch,4036,Streiff-Feller,2747,PEV,Parti évangélique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2747.jpg,2015-11-17T17:20:48Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3907,VD,Vaud,N,G,Groupe des Verts,Adèle,Membre,www.adelethorens.ch,3907,Thorens Goumaz,2710,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2710.jpg,2018-11-14T13:59:54Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4221,LU,Lucerne,N,G,Groupe des Verts,Michael,Membre,www.michael-toengi.ch,4221,Töngi,3122,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3122.jpg,2018-02-09T08:41:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4113,GE,Genève,N,S,Groupe socialiste,Manuel,Membre,www.manueltornare.ch,4113,Tornare,3007,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3007.jpg,2016-02-02T15:38:52Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4128,BE,Berne,N,G,Groupe des Verts,Aline,Membre,www.alinetrede.ch,4128,Trede,3032,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3032.jpg,2018-05-25T18:25:25Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4175,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Mauro,Membre,www.mauro-tuena.ch,4175,Tuena,3097,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3097.jpg,2016-07-11T10:48:43Z
